id;discount_type;entity_name;amount;date_from;date_to;active_status;date_created;date_modified
1;Journal;harness Generic;15664;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
2;Institute;firmware;26429;2020-05-07;2020-05-07;Inactive;2020-05-07;2020-05-07
3;Institute;Handcrafted Granite Shirt;43105;2020-05-07;2020-05-07;Inactive;2020-05-07;2020-05-07
4;Country;Rustic mobile;50216;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
5;Journal;Mouse users;60624;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
6;Journal;users Haiti;18508;2020-05-07;2020-05-07;Inactive;2020-05-07;2020-05-07
7;Country;override hack;52244;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
8;Institute;Croatia;83671;2020-05-07;2020-05-07;Inactive;2020-05-07;2020-05-07
9;Journal;Assistant Cuban Peso Peso Convertible Licensed;48773;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
10;Journal;XML Vatu;53884;2020-05-07;2020-05-07;Active;2020-05-07;2020-05-07
