id;journal_acronym;journal_title;active_status;date_created;date_modified
1;Wooden navigate;Creative;Inactive;2020-05-11;2020-05-11
2;Tunnel program;deposit;Inactive;2020-05-11;2020-05-12
3;e-enable;Tools;Inactive;2020-05-12;2020-05-11
4;transition maroon;firewall Auto Loan Account;Active;2020-05-11;2020-05-11
5;mission-critical New Mexico;collaboration Incredible;Inactive;2020-05-12;2020-05-11
6;payment;Solomon Islands Dollar Sleek Metal Shirt customer loyalty;Active;2020-05-12;2020-05-12
7;Micronesia Kansas;Bedfordshire;Active;2020-05-11;2020-05-12
8;RAM Accounts partnerships;Clothing;Inactive;2020-05-11;2020-05-11
9;Wall;indexing holistic Concrete;Active;2020-05-11;2020-05-11
10;needs-based Motorway real-time;Gorgeous Fresh Towels Steel Nepal;Active;2020-05-12;2020-05-11
