id;mail_configuration_name;stage_name;active_status;date_created;date_modified;associated_journal_id;associated_mail_template_id
1;Rustic;RefundInitiated;Inactive;2020-05-07;2020-05-07;1;1
2;synthesize open-source deposit;Pending;Active;2020-05-07;2020-05-07;2;2
3;wireless;Pending;Inactive;2020-05-07;2020-05-07;3;3
4;Ranch Toys;Refunded;Inactive;2020-05-07;2020-05-07;4;4
5;generating invoice Cambridgeshire;Pending;Active;2020-05-08;2020-05-07;5;5
6;Triple-buffered;Completed;Active;2020-05-08;2020-05-07;6;6
7;Producer monitoring;Initiated;Active;2020-05-07;2020-05-07;7;7
8;Oklahoma;RefundInitiated;Inactive;2020-05-07;2020-05-07;8;8
9;relationships;Pending;Active;2020-05-07;2020-05-08;9;9
10;Shirt Assurance;RefundInitiated;Active;2020-05-07;2020-05-07;10;10
